date	6200-new	6200-cumulative	8000-new	8000-cumulative
April 26, 2014	8"	97.5"	18"	300.5"
April 25, 2014	2"	89.5"	7"	282.5"
April 23, 2014	0"	87.5"	6"	275.5"
April 22, 2014	0"	87.5"	1"	269.5"
April 5, 2014	0"	87.5"	1"	268.5"
April 2, 2014	4"	87.5"	5"	267.5"
April 1, 2014	3"	83.5"	16"	262.5"
March 31, 2014	0"	80.5"	2"	246.5"
March 30, 2014	10"	80.5"	20"	244.5"
March 29, 2014	0"	70.5"	4"	224.5"
March 27, 2014	6"	70.5"	13"	220.5"
March 26, 2014	2"	64.5"	6"	207.5"
March 11, 2014	0"	62.5"	4"	201.5"
March 7, 2014	0"	62.5"	1.5"	197.5"
March 6, 2014	0"	62.5"	2"	196"
March 4, 2014	2"	62.5"	8"	194"
March 3, 2014	0"	60.5"	4"	186"
March 2, 2014	0"	60.5"	3"	182"
March 1, 2014	2"	60.5	8"	179"
February 28, 2014	4"	58.5"	12"	171"
February 27, 2014	4"	54.5"	10"	159"
February 20, 2014	0"	50.5	1"	149"
February 19, 2014	0"	50.5"	1"	148"
February 16, 2014	1"	50.5"	3"	147"
February 10, 2014	1"	49.5"	8"	144"
February 9, 2014	0.5"	48.5"	38"	136"
February 8, 2014	5"	48"	16"	98"
February 7, 2014	2"	43"	4"	82"
February 6, 2014	1"	41"	2"	78"
February 3, 2014	2"	40"	4"	76"
January 31, 2014	2"	38"	4"	72"
January 30, 2014	3"	36"	6"	68"
January 12, 2014	1"	33"	3"	62"
December 20, 2013	0"	32"	1"	59"
December 19, 2013	1"	32"	1"	58"
December 8, 2013	5"	31"	7"	57"
December 7, 2013	15"	26"	10"	50"
December 4, 2013	2"	11"	3"	40"
December 3, 2013	0"	8"	4"	37"
November 21, 2013	1"	9"	6"	33"
November 20, 2013	0"	8"	4"	27"
October 29, 2013	2"	8"	8"	23":
October 28, 2013	5"	6"	10"	15"
October 8, 2013	0"	1"	1"	5"
September 22, 2013	1"	1"	4"	4"
May 7, 2015	5"	93"	7"	223"
April 25, 2015	9"	88"	12"	216"
April 24, 2015	0"	79"	3"	204"
April 8, 2015	6"	79"	12"	201"
April 6, 2015	4"	73"	8"	189"
March 24, 2015	1"	69"	3"	181"
March 23, 2015	1"	68"	4"	178"
March 12, 2015	0"	67"	1"	174"
March 3, 2015	1"	67"	1"	173"
March 1, 2015	11"	66"	15"	172"
February 28, 2015	12"	50"	17"	157"
February 10, 2015	1"	38"	3"	140"
February 9, 2015	1"	37"	5"	137"
February 8, 2015	0"	36"	3"	132"
